capacity,net_size,arrival_d0,arrival_d1,service_s,service_p,arrival_mean,arrival_rate,arrival_cv,arrival_skew,arrival_lag1,arrival_order,service_mean,service_rate,service_cv,service_skew,service_order,busy
2,6,"[[-3.10578302  3.10578222  0.        ]
 [ 0.         -3.10578379  3.10578222]
 [ 0.          0.         -3.10578459]]","[[3.05614173e-17 7.98584501e-07 6.19795352e-17]
 [1.56851379e-06 3.03071526e-17 6.00446787e-17]
 [3.10578459e+00 7.42264918e-17 1.51023418e-16]]","[[-0.51717199  0.        ]
 [ 0.         -2.04824977]]",[0.32223519 0.67776481],0.9659393307904047,1.0352617065315315,0.5773505643199793,1.1547002414746061,1.7141857127890676e-07,3,0.9539711101910526,1.0482497733078406,1.4151671878348961,3.4001514668982127,2,0.9876097595181689
5,6,"[[-0.82704521  0.        ]
 [ 0.         -2.19173429]]","[[0.82704521 0.        ]
 [0.         2.19173429]]","[[-0.21825019  0.        ]
 [ 0.         -1.93670888]]",[0.13558476 0.86441524],0.8326917130519006,1.2009246451305458,1.1868985800333478,2.6628724346052874,0.14506993893037015,2,1.0675675412124912,0.9367088838840574,2.097494381459318,5.494576026247431,2,1.2820681705835004
1,6,"[[-0.16725163  0.        ]
 [ 0.         -1.07611822]]","[[1.67251632e-01 0.00000000e+00]
 [4.43127758e-18 1.07611822e+00]]","[[-0.36603899  0.        ]
 [ 0.         -1.76329326]]",[0.34321042 0.65678958],3.454140423159951,0.28950762780083217,1.4382751904536313,2.8272463320120553,0.258294782079246,2,1.3101124423135981,0.7632932622439995,1.4936424480734145,3.3908776954535416,2,0.3792875453265644
3,3,"[[-1.61240749  1.61240529]
 [ 0.         -1.6124144 ]]","[[7.98932265e-07 1.39954601e-06]
 [1.61241440e+00 0.00000000e+00]]",[[-1.41266389]],[1.],1.2403771940598585,0.8062063739876708,0.7071075701276818,1.4142135623881193,4.3399071637717905e-07,2,0.7078824686179042,1.412663887484651,1.0,2.0,1,0.5706993582338817
2,9,"[[-1.57012383  1.57012247]
 [ 0.         -1.57012861]]","[[4.80623379e-17 1.36269135e-06]
 [1.57012861e+00 4.53426277e-17]]","[[-1.40118198  1.40118198]
 [ 0.         -1.40118198]]",[1. 0.],1.2737818381900836,0.7850637919448591,0.707107394876196,1.414213562381203,4.339424028478157e-07,2,1.427366348264912,0.7005909878816935,0.7071067811865474,1.4142135623730965,2,1.1205736378633382
1,6,"[[-0.21416258  0.        ]
 [ 0.         -1.99865453]]","[[0.19018068 0.0239819 ]
 [0.03060858 1.96804596]]","[[-0.62440508  0.        ]
 [ 0.         -1.75987761]]",[0.7236793 0.2763207],1.0019038711881072,0.998099746649497,2.1598548980876506,5.829121348764898,0.34281466486026474,2,1.3160014033295364,0.7598776091499293,1.1164969814606394,2.3132627490990783,2,1.3135006672535927
3,6,"[[-0.37286086  0.        ]
 [ 0.         -1.22124668]]","[[3.72860857e-01 0.00000000e+00]
 [2.10823003e-16 1.22124668e+00]]","[[-0.62341288  0.        ]
 [ 0.         -1.92687079]]",[0.51601172 0.48398828],2.6819656185612635,0.37286085737983793,1.0000000000000002,1.9999999999999996,2.220446049250312e-16,2,1.0788990291235596,0.926870794213567,1.2268833479523322,2.698047499707827,2,0.40227921702528513
4,10,"[[-0.1395373   0.        ]
 [ 0.         -0.98908241]]","[[0.1395373  0.        ]
 [0.         0.98908241]]","[[-0.19305814  0.        ]
 [ 0.         -1.87405446]]",[0.13139621 0.86860379],4.088790229589235,0.24457111855808294,1.4605487806781996,2.824202292245256,0.26561065179092297,2,1.1440934746181757,0.874054456375372,2.1827677998681074,5.615259918096227,2,0.2798122208223709
1,3,[[-1.33523331]],[[1.33523331]],"[[-2.72555152  2.72555152]
 [ 0.         -2.72555152]]",[1. 0.],0.7489327839826181,1.3352333098335951,1.0,2.000000000000001,2.220446049250312e-16,1,0.7337964381927671,1.3627757617124079,0.7071067811865476,1.4142135623730947,2,0.9797894469122315
5,6,"[[-2.10766928  2.10766852]
 [ 0.         -2.10767082]]","[[7.53447847e-07 6.86841350e-16]
 [2.10767082e+00 2.59501796e-16]]","[[-0.4027511   0.        ]
 [ 0.         -1.77451304]]",[0.37907859 0.62092141],0.9489149604945789,1.053835213514597,0.7071069075745187,1.4142135623735168,-2.2204452554873254e-16,2,1.2911338512221833,0.7745130367803487,1.4284077943905802,3.213016316123181,2,1.3606423177786535
5,3,"[[-0.3879379   0.        ]
 [ 0.         -2.00227066]]","[[0.20883025 0.17910764]
 [0.29120687 1.71106379]]","[[-0.5970734   0.        ]
 [ 0.         -2.64628042]]",[0.17698566 0.82301434],0.9972907853977901,1.0027165743852022,1.6069324123196043,4.011605588733561,0.12036325331759173,2,0.607429931095394,1.6462804165686638,1.5258080686326785,4.353416447513378,2,0.609080059687013
1,4,"[[-0.26044291  0.        ]
 [ 0.         -2.00875612]]","[[0.20447232 0.05597059]
 [0.07472679 1.93402934]]","[[-0.50686581  0.        ]
 [ 0.         -2.13159855]]",[0.27568852 0.72431148],0.9909324380470073,1.0091505349959717,1.9649650722614271,5.21556751574207,0.27709685489042174,2,0.8837056249222444,1.1315985457125366,1.4684846997405323,3.6590694795852214,2,0.8917920041692324
5,4,"[[-0.37576125  0.        ]
 [ 0.         -2.03155229]]","[[3.75761249e-01 2.96010050e-16]
 [3.01680350e-16 2.03155229e+00]]","[[-2.73316333  2.73316333]
 [ 0.         -2.73316333]]",[1. 0.],0.969179097798599,1.0318010389115984,1.6487425562840707,4.188757366750217,0.31606502877805837,2,0.7317528287832066,1.3665816661930061,0.7071067811865475,1.4142135623730963,2,0.7550233289650135
4,6,"[[-0.87254434  0.        ]
 [ 0.         -3.9999999 ]]","[[8.72544337e-01 5.83864516e-17]
 [1.56846991e-17 3.99999990e+00]]","[[-0.45106566  0.        ]
 [ 0.         -2.86766241]]",[0.09993951 0.90006049],0.8090961263919516,1.2359470863608715,1.2552270942730166,2.5177968162386546,0.18265957842484,2,0.5354286695490832,1.8676624112081266,1.7861479400343243,5.876579369935202,2,0.6617615040832673
