,net_size,num_packets,elapsed,delay_error,delivery_prob_error,last_system_size_error
537,6,500,0.003744404995813966,0.05490086233203752,0.01645198962383859,0.025988120112956373
538,6,500,0.003605995007092133,0.01731354652074459,0.010147194685529855,0.09024463841840487
539,6,500,0.003547811007592827,0.004996096399216186,0.022412886656421358,0.09641225974293668
540,6,500,0.0037835460097994655,0.02856080108310155,0.008403201968009448,0.008107727138781788
541,6,500,0.0036713529843837023,0.006406257295868816,0.019184929004965805,0.0036132344910158555
542,6,500,0.0037458900187630206,0.019894471006990568,0.02142783097717421,0.017823255848216382
543,6,500,0.0035938719811383635,0.06417812677760482,0.009791278842238212,0.04807624512172379
544,6,500,0.0035622130089905113,0.01583601402186148,0.010327331683767165,0.13532474952907633
545,6,500,0.00358223301009275,0.008781084634731042,0.00821715541870066,0.16638083849979518
546,6,500,0.003566789993783459,0.018565876184739188,0.00546290928959766,0.07846522035562795
547,6,500,0.0035978470114059746,0.03183551379290371,0.003689246833739916,0.005877981311463993
548,6,500,0.0037404400063678622,0.08616379161690255,0.01930502183155939,0.16029350972216005
549,6,500,0.00367940598516725,0.05693041277823763,0.010962381889293287,0.202898835897907
550,6,500,0.0036680210032500327,0.010326446181419108,0.00892003364305229,0.01601663448796038
551,6,500,0.0036952839873265475,0.023252727004317676,0.00029231302291216906,0.12727546810495904
552,6,500,0.003711848985403776,0.05037376385811691,0.014994783497031927,0.20604621099701753
553,6,750,0.0045220640022307634,0.07953158402208578,0.003246234561796261,0.13177111935552174
554,6,750,0.004483555007027462,0.017862404250168787,0.00348696164331645,0.013337201567730517
555,6,750,0.004397906974190846,0.0386652664589973,0.013083680464518821,0.03334550229684476
556,6,750,0.004492909996770322,0.01093563665827172,0.003411504106531991,0.10214459252891239
557,6,750,0.004396741016535088,0.00959830369608656,0.001231149527540093,0.03050111778432291
558,6,750,0.004578619002131745,0.017100132808920806,0.028397254369752243,0.008851100538203814
559,6,750,0.004448581981705502,0.060015664505443496,0.01013593801288265,0.10626079186767186
560,6,750,0.004433597001479939,0.000445014304195597,0.0008514458142228539,0.02292610286563195
561,6,750,0.0044731550151482224,0.03181570041967084,0.010423677807557893,0.044556267982893
562,6,750,0.004446954000741243,0.009859444135980243,0.010307557608994138,0.0412965912639234
563,6,750,0.004458187991986051,0.04036580993987203,0.007722010219837175,0.10431212544879354
564,6,750,0.004437669005710632,0.012613600825365905,0.006078505648282219,0.10829926682058028
565,6,750,0.004481306008528918,0.0036165265293455337,0.0020217374803456595,0.06010864071970972
566,6,750,0.004387018008856103,0.021934990970938487,0.003587831983897777,0.10744587246576222
567,6,750,0.004492544976528734,0.02963774522904941,0.014330750205342154,0.04688839744197606
